Sample5;;Sample5;;Sample5;;Sample5;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
;;;;;;;
;;;;;;;
643.93213;-0.01013;643.93213;-0.00966;643.93213;-0.00932;643.93213;-0.00903
643.05597;-0.00988;643.05597;-0.00945;643.05597;-0.00947;643.05597;-0.0089
642.03345;-0.01016;642.03345;-0.00971;642.03345;-0.00965;642.03345;-0.00881
641.01068;-0.00994;641.01068;-0.00959;641.01068;-0.00975;641.01068;-0.00853
639.98755;-0.00988;639.98755;-0.0097;639.98755;-0.00965;639.98755;-0.00843
638.96417;-0.01006;638.96417;-0.00982;638.96417;-0.01005;638.96417;-0.00827
637.94049;-0.00998;637.94049;-0.00979;637.94049;-0.00987;637.94049;-0.00836
637.06274;-0.01007;637.06274;-0.00995;637.06274;-0.01003;637.06274;-0.00815
636.03851;-0.01002;636.03851;-0.01022;636.03851;-0.01023;636.03851;-0.00833
635.01392;-0.00992;635.01392;-0.01008;635.01392;-0.00996;635.01392;-0.00783
633.98907;-0.01003;633.98907;-0.01018;633.98907;-0.01014;633.98907;-0.00792
632.96393;-0.00991;632.96393;-0.01029;632.96393;-0.01015;632.96393;-0.00773
631.93848;-0.00999;631.93848;-0.01032;631.93848;-0.01022;631.93848;-0.00771
631.05927;-0.01;631.05927;-0.01051;631.05927;-0.01043;631.05927;-0.00776
630.03326;-0.00995;630.03326;-0.01014;630.03326;-0.01012;630.03326;-0.0074
629.00696;-0.01009;629.00696;-0.01033;629.00696;-0.01018;629.00696;-0.0074
627.98035;-0.01033;627.98035;-0.0104;627.98035;-0.01024;627.98035;-0.00759
626.95343;-0.01002;626.95343;-0.01037;626.95343;-0.0102;626.95343;-0.00752
626.073;-0.01023;626.073;-0.01058;626.073;-0.01034;626.073;-0.00755
625.04553;-0.01011;625.04553;-0.01034;625.04553;-0.01012;625.04553;-0.00718
624.01776;-0.01022;624.01776;-0.01034;624.01776;-0.01043;624.01776;-0.00738
622.98975;-0.01031;622.98975;-0.01037;622.98975;-0.01021;622.98975;-0.00724
621.96136;-0.01024;621.96136;-0.01023;621.96136;-0.01023;621.96136;-0.00716
620.93274;-0.01039;620.93274;-0.01046;620.93274;-0.01045;620.93274;-0.00741
620.05084;-0.01053;620.05084;-0.01068;620.05084;-0.01038;620.05084;-0.00758
619.02167;-0.01036;619.02167;-0.01059;619.02167;-0.01046;619.02167;-0.00766
617.99219;-0.01067;617.99219;-0.01043;617.99219;-0.01034;617.99219;-0.00756
616.9624;-0.01054;616.9624;-0.01054;616.9624;-0.01049;616.9624;-0.00775
615.93237;-0.01046;615.93237;-0.01016;615.93237;-0.0103;615.93237;-0.0076
615.04926;-0.01038;615.04926;-0.01049;615.04926;-0.01009;615.04926;-0.00788
